TIPO_CLUSTERING,RAMA,CLUSTER_RAMA,NOMBRE_PERFIL,DESCRIPCION,N_PERSONAS
estructurado,ADMINISTRATIVO,0,Tecnicos especializados de paso breve,"Personal tecnico (ejecucion de actividades, proyectos e investigacion) con muy poca antiguedad efectiva (mediana menor a 1 ano) y casi todos ya desvinculados. Perfil de entrada operativa de corta duracion.",178
estructurado,ADMINISTRATIVO,1,Profesionales de servicios de ingreso reciente,"Servicios profesionales, asistentes y analistas junior con antiguedad media (~3 anios) y mayor proporcion de personal aun vigente. Formacion mayoritariamente de cuarto nivel.",150
estructurado,ADMINISTRATIVO,2,Analistas de laboratorio con produccion investigativa,"Grupo pequeno y distintivo: analistas de laboratorio de investigacion con publicaciones, proyectos de investigacion y muchas capacitaciones, algo inusual para personal administrativo. Mayor antiguedad y experiencia administrativa que el promedio de la rama.",37
estructurado,ADMINISTRATIVO,3,Analistas y asistentes administrativos de carrera,"El grupo mas grande: analistas y asistentes ejecutivos con alta antiguedad (~10 anios), varios cargos distintos recorridos dentro de la institucion y muchas capacitaciones. Nucleo estable de la planta administrativa.",235
estructurado,ADMINISTRATIVO,4,Personal de servicios generales y auxiliares de planta,"Auxiliares de servicios, mantenimiento y asistentes ejecutivas con menor nivel academico formal (bachillerato predominante) pero alta antiguedad efectiva. Roles operativos y de soporte fisico a la institucion.",155
estructurado,ADMINISTRATIVO,5,Personal tecnico-docente hibrido,Grupo pequeno con trayectoria mixta: combinan cargos administrativos con periodos de docencia y alta diversidad de cargos distintos. Perfil de rotacion amplia entre funciones tecnicas y academicas.,44
estructurado,DOCENTE,0,Tecnicos docentes y de laboratorio de ingreso reciente,"El grupo mas grande de la rama docente: tecnicos de investigacion y de laboratorio con muy poca antiguedad, sin publicaciones ni horas de docencia registradas. Personal de apoyo tecnico clasificado administrativamente como TIPOEMPLEADO docente por su cargo, no por labor de catedra.",572
estructurado,DOCENTE,1,Autoridades y profesores titulares consolidados,"Profesores titulares agregados y principales, con la mayor produccion de publicaciones indexadas, proyectos de investigacion y horas de docencia de toda la rama, y varios decanos. Perfil de docencia e investigacion consolidada con mas de 10 anios de antiguedad.",221
estructurado,DOCENTE,2,Docentes ocasionales de trayectoria media,"Profesores no titulares ocasionales (tiempo completo y parcial) con antiguedad y horas de docencia cercanas a la mediana de la rama, sin produccion de investigacion destacada. Perfil docente de dedicacion estandar sin indicios de estabilizacion aun.",482
estructurado,DOCENTE,3,Profesores titulares de larga trayectoria,"El grupo con mayor antiguedad de toda la institucion (mediana cercana a 20 anios) y con mayor numero de cargos distintos recorridos, incluye profesores titulares principales y decanos. Perfil de docentes historicos con acumulacion de experiencia academica y administrativa.",176
estructurado,DOCENTE,4,Docentes ocasionales con vinculacion y produccion activa,"Profesores no titulares ocasionales y titulares auxiliares con alto volumen de horas de docencia y la mayor participacion en proyectos de vinculacion con la sociedad de toda la rama, junto con reconocimientos institucionales.",226
semantico,ADMINISTRATIVO,0,Tecnicos de sistemas en formacion (GTSI),"Ingenieros en Ciencias de la Computacion recien graduados que ingresan como tecnicos o analistas de desarrollo en la Gerencia de Tecnologias y Sistemas de Informacion (GTSI). Perfil joven, orientado a desarrollo de software y proyectos tecnologicos.",83
semantico,ADMINISTRATIVO,1,Tecnicos de apoyo a la investigacion (DINV),"Ingenieros recien graduados (computacion, estadistica, telematica) que ingresan como tecnicos de ejecucion de actividades o proyectos de investigacion en el Decanato de Investigacion (DINV). Trayectorias cortas, de primer empleo institucional.",102
semantico,ADMINISTRATIVO,2,Analistas financieros y de talento humano,"Analistas y asistentes de la Gerencia Financiera (GFIN) y de la Direccion de Talento Humano (DTH), con formacion en finanzas, contabilidad o gestion empresarial. Varias trayectorias describen alta estabilidad y baja rotacion entre cargos.",101
semantico,ADMINISTRATIVO,3,Personal de bienestar y gestion de talento humano,"Trayectorias con multiples roles de soporte administrativo (recepcion, secretaria, asistencia) que evolucionan hacia analista de bienestar politecnico o de talento humano, en Seguridad y Salud Ocupacional (DSSO) y Talento Humano (DTH). Alta diversidad de cargos recorridos.",115
semantico,ADMINISTRATIVO,4,Personal de formacion academica y capacitacion (CISE),"Analistas y asistentes del Centro de Investigaciones y Servicios Educativos (CISE) vinculados a actividades de capacitacion, formacion academica y comunicacion institucional.",67
semantico,ADMINISTRATIVO,5,Analistas de laboratorio con posgrado aplicado,"Analistas de laboratorio de investigacion con maestrias o doctorados en areas aplicadas (biotecnologia, ciencias ambientales, acuicultura), en centros como CIBE y CENAIM. Trayectorias con alta diversidad de roles antes de estabilizarse en el cargo tecnico-cientifico.",63
semantico,ADMINISTRATIVO,6,Personal administrativo de trayectoria historica larga,"Trayectorias muy extensas (varias decadas) que inician en cargos operativos basicos (digitador, auxiliar, cajera, oficinista) y culminan en cargos de analista financiero o de activos fijos. Alta antiguedad institucional y multiples cargos distintos.",94
