FEATURE,SOURCE,TYPE,DESCRIPTION,RATIONALE
IDPERSONA,identificacion,identificador,Identificador unico de persona.,Llave de union con el resto de tablas del proyecto.
NUM_TITULACIONES,formacion_academica,numerica,Num titulaciones.,Describe el nivel y volumen de titulaciones academicas obtenidas.
NUM_TIT_BACHILLERATO,formacion_academica,numerica,Num tit bachillerato.,Describe el nivel y volumen de titulaciones academicas obtenidas.
NUM_TIT_CUARTO_NIVEL,formacion_academica,numerica,Num tit cuarto nivel.,Describe el nivel y volumen de titulaciones academicas obtenidas.
NUM_TIT_TERCER_NIVEL,formacion_academica,numerica,Num tit tercer nivel.,Describe el nivel y volumen de titulaciones academicas obtenidas.
NUM_CAPACITACIONES,capacitacion,numerica,Num capacitaciones.,"Describe volumen, duracion y aprobacion de capacitaciones recibidas."
SUMA_DURACION_CAPACITACIONES,capacitacion,numerica,Suma duracion capacitaciones.,"Describe volumen, duracion y aprobacion de capacitaciones recibidas."
NUM_CAPACITACIONES_APROBACION,capacitacion,numerica,Num capacitaciones aprobacion.,"Describe volumen, duracion y aprobacion de capacitaciones recibidas."
NUM_CAPACITACIONES_VIRTUAL,capacitacion,numerica,Num capacitaciones virtual.,"Describe volumen, duracion y aprobacion de capacitaciones recibidas."
NUM_CAPACITACIONES_PRESENCIAL,capacitacion,numerica,Num capacitaciones presencial.,"Describe volumen, duracion y aprobacion de capacitaciones recibidas."
NUM_CERTIFICACIONES,certificaciones,numerica,Num certificaciones.,Describe volumen y duracion de certificaciones obtenidas.
SUMA_DURACION_CERTIFICACIONES,certificaciones,numerica,Suma duracion certificaciones.,Describe volumen y duracion de certificaciones obtenidas.
NUM_PONENCIAS,ponencias,numerica,Num ponencias.,Describe participacion como ponente en eventos academicos.
SUMA_DURACION_PONENCIAS,ponencias,numerica,Suma duracion ponencias.,Describe participacion como ponente en eventos academicos.
NUM_CURSOS,docencia,numerica,Num cursos.,Describe volumen y alcance de la actividad de docencia.
NUM_PERIODOS_DOCENCIA,docencia,numerica,Num periodos docencia.,Describe volumen y alcance de la actividad de docencia.
TOTAL_HORAS_DOCENCIA,docencia,numerica,Total horas docencia.,Describe volumen y alcance de la actividad de docencia.
TOTAL_ESTUDIANTES,docencia,numerica,Total estudiantes.,Describe volumen y alcance de la actividad de docencia.
PROMEDIO_ESTUDIANTES_POR_CURSO,docencia,numerica,Promedio estudiantes por curso.,Describe volumen y alcance de la actividad de docencia.
NUM_ACTIVIDADES_POLITECNICAS,carga_politecnica,numerica,Num actividades politecnicas.,"Describe volumen, distribucion por termino e intensidad de la carga politecnica."
NUM_ACTIVIDADES_T1,carga_politecnica,numerica,Num actividades t1.,"Describe volumen, distribucion por termino e intensidad de la carga politecnica."
NUM_ACTIVIDADES_T2,carga_politecnica,numerica,Num actividades t2.,"Describe volumen, distribucion por termino e intensidad de la carga politecnica."
NUM_ACTIVIDADES_T3,carga_politecnica,numerica,Num actividades t3.,"Describe volumen, distribucion por termino e intensidad de la carga politecnica."
TOTAL_HORAS_POLITECNICAS,carga_politecnica,numerica,Total horas politecnicas.,"Describe volumen, distribucion por termino e intensidad de la carga politecnica."
NUM_EXPERIENCIAS_EXTERNAS,experiencia_externa,numerica,Num experiencias externas.,"Describe experiencia laboral externa reportada, por tipo."
NUM_EXPERIENCIAS_ACADEMICAS,experiencia_externa,numerica,Num experiencias academicas.,"Describe experiencia laboral externa reportada, por tipo."
NUM_EXPERIENCIAS_ADMINISTRATIVAS,experiencia_externa,numerica,Num experiencias administrativas.,"Describe experiencia laboral externa reportada, por tipo."
NUM_EXPERIENCIAS_POR_CLASIFICAR,experiencia_externa,numerica,Num experiencias por clasificar.,"Describe experiencia laboral externa reportada, por tipo."
NUM_EXPERIENCIAS_ROL_PROFESOR,experiencia_externa,numerica,Num experiencias rol profesor.,"Describe experiencia laboral externa reportada, por tipo."
NUM_IDIOMAS,idiomas,numerica,Num idiomas.,Describe el numero de idiomas registrados y su cobertura de nivel MCER.
NUM_IDIOMAS_NO_NATIVOS,idiomas,numerica,Num idiomas no nativos.,Describe el numero de idiomas registrados y su cobertura de nivel MCER.
NUM_IDIOMAS_CON_NIVELMCER,idiomas,numerica,Num idiomas con nivelmcer.,Describe el numero de idiomas registrados y su cobertura de nivel MCER.
NUM_EVALUACIONES,evaluacion_docente,numerica,Num evaluaciones.,Describe resultados y cobertura de la heteroevaluacion docente.
PROMEDIO_HETEROEVALUACION,evaluacion_docente,numerica,Promedio heteroevaluacion.,Describe resultados y cobertura de la heteroevaluacion docente.
TOTAL_REGISTRADOS,evaluacion_docente,numerica,Total registrados.,Describe resultados y cobertura de la heteroevaluacion docente.
TOTAL_EVALUADOS,evaluacion_docente,numerica,Total evaluados.,Describe resultados y cobertura de la heteroevaluacion docente.
COBERTURA_EVALUACION,evaluacion_docente,numerica,Cobertura evaluacion.,Describe resultados y cobertura de la heteroevaluacion docente.
NUM_RECONOCIMIENTOS,reconocimientos,numerica,Num reconocimientos.,Describe menciones y reconocimientos institucionales recibidos.
NUM_TIPOS_RECONOCIMIENTO_DISTINTOS,reconocimientos,numerica,Num tipos reconocimiento distintos.,Describe menciones y reconocimientos institucionales recibidos.
NUM_PROYECTOS_GRADO_DIRIGIDOS,proyectos_grado,numerica,Num proyectos grado dirigidos.,Describe direccion de trabajos de titulacion de estudiantes.
NUM_PROGRAMAS_TITULACION_DISTINTOS,proyectos_grado,numerica,Num programas titulacion distintos.,Describe direccion de trabajos de titulacion de estudiantes.
NUM_PROYECTOS_INVESTIGACION,investigacion,numerica,Num proyectos investigacion.,"Describe volumen, estado y rol de participacion en proyectos de investigacion."
NUM_PROYECTOS_ACTIVOS,investigacion,numerica,Num proyectos activos.,"Describe volumen, estado y rol de participacion en proyectos de investigacion."
NUM_PROYECTOS_FINALIZADOS,investigacion,numerica,Num proyectos finalizados.,"Describe volumen, estado y rol de participacion en proyectos de investigacion."
NUM_PROYECTOS_COMO_DIRECTOR,investigacion,numerica,Num proyectos como director.,"Describe volumen, estado y rol de participacion en proyectos de investigacion."
NUM_PROYECTOS_COMO_CODIRECTOR,investigacion,numerica,Num proyectos como codirector.,"Describe volumen, estado y rol de participacion en proyectos de investigacion."
NUM_PROYECTOS_COMO_PARTICIPANTE,investigacion,numerica,Num proyectos como participante.,"Describe volumen, estado y rol de participacion en proyectos de investigacion."
NUM_PROYECTOS_VINCULACION,vinculacion,numerica,Num proyectos vinculacion.,Describe volumen y rol de participacion en proyectos de vinculacion.
NUM_VINCULACION_TUTOR,vinculacion,numerica,Num vinculacion tutor.,Describe volumen y rol de participacion en proyectos de vinculacion.
NUM_VINCULACION_DIRECTOR_PROYECTO,vinculacion,numerica,Num vinculacion director proyecto.,Describe volumen y rol de participacion en proyectos de vinculacion.
NUM_VINCULACION_DIRECTOR_PROGRAMA,vinculacion,numerica,Num vinculacion director programa.,Describe volumen y rol de participacion en proyectos de vinculacion.
NUM_PUBLICACIONES,publicaciones,numerica,Num publicaciones.,"Describe volumen y calidad (indexacion, revision por pares, cuartil) de publicaciones."
NUM_PUBLICACIONES_INDEXADAS,publicaciones,numerica,Num publicaciones indexadas.,"Describe volumen y calidad (indexacion, revision por pares, cuartil) de publicaciones."
NUM_PUBLICACIONES_REVISION_PARES,publicaciones,numerica,Num publicaciones revision pares.,"Describe volumen y calidad (indexacion, revision por pares, cuartil) de publicaciones."
NUM_PUBLICACIONES_Q1,publicaciones,numerica,Num publicaciones q1.,"Describe volumen y calidad (indexacion, revision por pares, cuartil) de publicaciones."
NUM_PUBLICACIONES_Q2,publicaciones,numerica,Num publicaciones q2.,"Describe volumen y calidad (indexacion, revision por pares, cuartil) de publicaciones."
N_REGISTROS_HISTORIAL,trayectoria_laboral,numerica,N registros historial.,"Describe la trayectoria laboral institucional (historial_laboral_features.csv), ya procesada previamente."
